dates,Code,Volume,Zero,NssZero,DiffZero,Yield,NssYield,DiffYield,dayRet,stdev,skew,pct_chg,month_cum
2022-10-21,210013.IB,1592200000,0.0263591080967558,0.0259883838160071,-3.70724280748701,0.026145,0.0257279089005953,-4.17091099404715,0.5602691475790206,1.8776888608598237,-0.4732939338423436,-0.0021255239195592246,-6.05197649767096
2022-10-24,210013.IB,1610000000,0.0263189132436296,0.0260325420094309,-2.86371234198678,0.0261,0.0257821959301667,-3.17804069833248,-0.4019485312620197,1.837287646817295,-0.4680630129884338,0.0015272231324343633,-6.45392502893298
2022-10-25,210013.IB,1640620000,0.0263284927973331,0.0260955500864742,-2.32942710858854,0.026125,0.0258447148670564,-2.80285132943581,0.0957955370350233,1.8361734281491917,-0.4588183295821474,-0.0003638474020234428,-6.358129491897957
2022-10-26,210013.IB,2055000000,0.0261503702751221,0.0258776221016812,-2.7274817344089,0.02595,0.0255949638611587,-3.55036138841299,-1.7812252221099945,1.8513952676653542,-0.41296778890312685,0.006811472278863029,-8.13935471400795
2022-10-27,210013.IB,1256550000,0.0260480766277403,0.025661896322277,-3.8618030546329,0.02585,0.025411046334907,-4.38953665092962,-1.0229364738180078,1.8551472913600573,-0.3943100318237875,0.0039271094309074606,-9.162291187825959
2022-10-28,210013.IB,690000000,0.0259808586855642,0.0257003353244073,-2.8052336115688,0.025775,0.0254443375738587,-3.3066242614125,-0.6721794217609891,1.8475740569544463,-0.3453389307468933,0.0025872101838362305,-9.834470609586948
2022-10-31,210013.IB,801460000,0.0256390212180919,0.025329351555906,-3.09669662185888,0.02545,0.0250789436492619,-3.71056350738086,-3.4183746747230153,1.9026587231870957,-0.32488567995259143,0.013332703482108244,-13.252845284309963
2022-11-01,210013.IB,166950000,0.0258604765181119,0.0254615071028212,-3.98969415290672,0.02565,0.0252018735797026,-4.48126420297366,2.2145530002000076,1.7939591462493594,-0.14873464134170086,-0.00856346555968912,-12.617981967063992
2022-11-02,210013.IB,2846500000,0.0260479904223009,0.025764995975095,-2.82994447205892,0.025845,0.0255088065414151,-3.36193458584925,1.8751390418899825,1.6278254616016246,0.3777494220785926,-0.007198785823740894,-10.742842925174008
2022-11-03,210013.IB,927770000,0.0259987661907433,0.0256914491168736,-3.07317073869655,0.0258,0.0254146833292492,-3.85316670750767,-0.49224231557599973,1.6070646054113322,0.452976065172308,0.001893329521734266,-11.235085240750008
